ip,date,time,T (ºC)
168.90.31.193,23/10/2020, 04:26:09,24.27
168.90.31.193,23/10/2020, 04:26:45,24.32
168.90.31.193,23/10/2020, 04:27:22,24.27
168.90.31.193,23/10/2020, 04:27:59,24.27
168.90.31.193,23/10/2020, 04:28:35,24.27
168.90.31.193,23/10/2020, 04:29:12,23.72
168.90.31.193,23/10/2020, 04:29:48,24.32
168.90.31.193,23/10/2020, 04:30:24,24.27
168.90.31.193,23/10/2020, 04:31:00,24.27
168.90.31.193,23/10/2020, 04:31:37,23.72
168.90.31.193,23/10/2020, 04:32:13,24.32
168.90.31.193,23/10/2020, 04:32:49,24.27
168.90.31.193,23/10/2020, 04:33:25,23.72
168.90.31.193,23/10/2020, 04:34:02,24.27
168.90.31.193,23/10/2020, 04:34:38,24.27
168.90.31.193,23/10/2020, 04:35:15,24.32
168.90.31.193,23/10/2020, 04:35:51,24.27
168.90.31.193,23/10/2020, 04:36:27,24.27
168.90.31.193,23/10/2020, 04:37:03,24.27
168.90.31.193,23/10/2020, 04:37:40,24.27
168.90.31.193,23/10/2020, 04:38:16,24.27
168.90.31.193,23/10/2020, 04:38:52,24.27
168.90.31.193,23/10/2020, 04:39:28,24.27
168.90.31.193,23/10/2020, 04:40:05,24.27
168.90.31.193,23/10/2020, 04:40:41,24.32
168.90.31.193,23/10/2020, 04:41:17,24.27
168.90.31.193,23/10/2020, 04:41:54,24.27
168.90.31.193,23/10/2020, 04:42:30,24.27
168.90.31.193,23/10/2020, 04:43:06,24.22
168.90.31.193,23/10/2020, 04:43:43,23.68
168.90.31.193,23/10/2020, 04:44:19,24.27
168.90.31.193,23/10/2020, 04:44:55,24.27
168.90.31.193,23/10/2020, 04:45:31,24.27
168.90.31.193,23/10/2020, 04:46:08,24.27
168.90.31.193,23/10/2020, 04:46:44,24.32
168.90.31.193,23/10/2020, 04:47:20,24.27
168.90.31.193,23/10/2020, 04:47:57,24.27
168.90.31.193,23/10/2020, 04:48:33,23.68
168.90.31.193,23/10/2020, 04:49:09,24.27
168.90.31.193,23/10/2020, 04:49:46,24.27
168.90.31.193,23/10/2020, 04:50:22,23.72
168.90.31.193,23/10/2020, 04:50:58,24.27
168.90.31.193,23/10/2020, 04:51:35,24.27
168.90.31.193,23/10/2020, 04:52:11,24.27
168.90.31.193,23/10/2020, 04:52:47,24.27
168.90.31.193,23/10/2020, 04:53:23,24.27
168.90.31.193,23/10/2020, 04:54:00,23.72
168.90.31.193,23/10/2020, 04:54:36,23.68
168.90.31.193,23/10/2020, 04:55:12,24.27
168.90.31.193,23/10/2020, 04:55:48,24.27
168.90.31.193,23/10/2020, 04:56:25,24.22
168.90.31.193,23/10/2020, 04:57:01,23.63
168.90.31.193,23/10/2020, 04:57:37,24.27
